SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:18:46-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,46163,1040,326,160,182,-0.993164,0.000488,0.093750,1.478750,-3.701250,-0.078750,-1.853470,-0.178850,-0.895126,,161,141,126,116,913,,,,,,,,,-50,15:18:47.133,
,,46164,1060,327,160,182,-0.995117,-0.000977,0.089844,1.365000,-3.753750,-0.201250,-1.851426,-0.179726,-0.894542,,161,142,127,116,914,,,,,,,,,-50,15:18:47.162,
,,46165,1080,329,162,184,-0.998047,-0.001465,0.092773,1.277500,-3.780000,-0.227500,-1.854784,-0.178704,-0.893374,,160,142,129,116,912,,,,,,,,,-50,15:18:47.192,
,,46166,1100,337,164,200,-0.998047,-0.003906,0.090332,1.373750,-3.858750,-0.271250,-1.854346,-0.175492,-0.893520,,176,153,138,123,913,,,,,,,,,-50,15:18:47.222,
,,46167,1120,330,162,189,-0.993164,-0.002441,0.096191,1.137500,-3.832500,-0.227500,-1.855222,-0.183230,-0.904908,,166,149,134,119,915,,,,,,,,,-50,15:18:47.252,
,,46168,1140,328,159,185,-0.999512,-0.001465,0.093750,1.058750,-3.780000,-0.280000,-1.851280,-0.181478,-0.891330,,163,144,130,118,914,,,,,,,,,-50,15:18:47.252,
,,46169,1160,328,160,183,-1.001953,-0.002441,0.094238,1.260000,-3.832500,-0.323750,-1.851280,-0.181478,-0.891330,,161,143,128,118,914,,,,,,,,,-50,15:18:47.283,
,,46170,1180,327,160,184,-0.997559,-0.004883,0.091797,1.373750,-3.823750,-0.210000,-1.855660,-0.178266,-0.887680,,162,141,130,117,912,,,,,,,,,-50,15:18:47.312,
,,46171,1200,327,160,182,-0.992676,0.001465,0.091797,1.321250,-3.780000,-0.201250,-1.848798,-0.181040,-0.896440,,162,143,129,117,913,,,,,,,,,-50,15:18:47.313,
,,46172,1220,327,159,184,-0.996094,-0.001953,0.088379,1.198750,-3.815000,-0.262500,-1.852156,-0.183960,-0.892644,,161,142,129,116,913,,,,,,,,,-50,15:18:47.342,
,,46173,1240,326,159,183,-0.995605,0.000488,0.095703,1.277500,-3.692500,-0.192500,-1.851280,-0.182500,-0.885490,,161,142,129,114,914,,,,,,,,,-50,15:18:47.372,
,,46174,1260,326,159,183,-0.996582,0.000000,0.097656,1.111250,-3.832500,-0.245000,-1.851280,-0.182500,-0.885490,,160,141,126,116,913,,,,,,,,,-50,15:18:47.373,
,,46175,1280,327,159,182,-0.999512,-0.001465,0.092773,1.216250,-3.771250,-0.201250,-1.849674,-0.183522,-0.888410,,162,142,125,116,913,,,,,,,,,-50,15:18:47.402,
,,46176,1300,326,161,183,-0.994629,-0.002441,0.090332,1.382500,-3.753750,-0.087500,-1.853908,-0.183230,-0.892352,,163,142,126,116,913,,,,,,,,,-50,15:18:47.432,
,,46177,1320,327,159,185,-0.997070,-0.005859,0.095215,1.373750,-3.797500,-0.175000,-1.849674,-0.179580,-0.895272,,161,144,127,116,913,,,,,,,,,-50,15:18:47.432,
,,46178,1340,326,160,184,-0.997070,-0.003906,0.089844,1.225000,-3.683750,-0.297500,-1.854930,-0.175638,-0.895856,,161,142,129,117,914,,,,,,,,,-50,15:18:47.460,
,,46179,1360,326,160,182,-0.994141,-0.001953,0.094238,1.268750,-3.841250,-0.201250,-1.855222,-0.178704,-0.885636,,161,141,127,115,914,,,,,,,,,-50,15:18:47.492,
,,46180,1380,326,160,184,-0.993652,-0.001953,0.089844,1.400000,-3.850000,-0.166250,-1.855222,-0.178704,-0.885636,,162,142,126,115,913,,,,,,,,,-50,15:18:47.521,
,,46181,1400,328,160,183,-0.994141,-0.003906,0.087891,1.540000,-3.692500,-0.166250,-1.848506,-0.179580,-0.890454,,161,143,128,116,914,,,,,,,,,-50,15:18:47.522,
,,46182,1420,328,159,182,-0.999512,-0.001465,0.092773,1.426250,-3.710000,-0.192500,-1.854054,-0.178996,-0.889870,,162,144,129,116,912,,,,,,,,,-50,15:18:47.553,
,,46183,1440,327,161,184,-0.998047,-0.003418,0.090820,1.295000,-3.718750,-0.253750,-1.854200,-0.178996,-0.889578,,161,143,130,116,913,,,,,,,,,-50,15:18:47.554,
,,46184,1460,326,160,184,-0.997070,-0.001953,0.092773,1.365000,-3.692500,-0.201250,-1.848506,-0.183376,-0.891768,,160,142,128,114,913,,,,,,,,,-50,15:18:47.582,
,,46185,1480,327,161,182,-0.992188,-0.002441,0.097168,1.330000,-3.745000,-0.201250,-1.848506,-0.183376,-0.891768,,161,142,126,117,913,,,,,,,,,-50,15:18:47.613,
,,46186,1500,327,160,182,-0.996582,-0.003906,0.093262,1.277500,-3.692500,-0.315000,-1.857120,-0.178704,-0.895126,,162,143,128,115,915,,,,,,,,,-50,15:18:47.613,
,,46187,1520,326,160,184,-0.990234,-0.004883,0.097656,1.277500,-3.841250,-0.271250,-1.849528,-0.180310,-0.891038,,161,144,128,116,913,,,,,,,,,-50,15:18:47.642,
,,46188,1540,326,160,183,-0.995605,0.003418,0.095703,1.338750,-3.762500,-0.227500,-1.850404,-0.177974,-0.877460,,161,144,129,117,913,,,,,,,,,-50,15:18:47.671,
,,46189,1560,326,159,182,-0.996582,0.000977,0.095215,1.338750,-3.841250,-0.166250,-1.848944,-0.177244,-0.888994,,162,143,127,116,914,,,,,,,,,-50,15:18:47.672,
