Tick,S0,S1,S2,S3,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
3362,206,303,120,301,1.550781,1.996094,-0.296875,244.628922,68.359383,249.511734,0.570313,-0.125,-0.148438
3363,195,296,121,293,0.558594,1.996094,-0.367188,199.707047,141.113297,249.511734,0.65625,-0.171875,-0.125
3364,206,303,119,301,-1.792969,1.996094,-0.566406,152.832047,137.207047,249.511734,0.710938,-0.234375,-0.125
3365,195,296,121,293,-2,1.996094,0.074219,99.121101,34.667973,249.511734,0.75,-0.289063,-0.132813
3366,191,293,121,289,-2,1.996094,0.773438,-34.179691,-52.246098,216.79689,0.75,-0.289063,-0.132813
3367,190,296,119,289,-2,1.996094,0.472656,-155.761734,-69.335945,21.972658,0.765625,-0.328125,-0.117188
3368,224,321,121,315,0.503906,1.996094,0.859375,-21.484377,-172.363297,-140.625015,0.765625,-0.3125,-0.085938
3369,210,316,109,308,0.199219,1.601563,-0.171875,-208.496109,-22.460939,-250.000015,0.742188,-0.257813,-0.109375
3370,205,319,94,308,0.65625,-1.691406,1.746094,-249.023453,126.953133,-141.601578,0.703125,-0.242188,-0.179688
3371,183,297,97,293,-0.730469,1.695313,0.359375,-138.183609,41.992191,-181.152359,0.703125,-0.242188,-0.179688
3372,168,268,102,271,1.023438,0.890625,-0.238281,-134.277359,-11.718751,-50.292973,0.679688,-0.234375,-0.203125
3373,160,246,106,245,0.320313,0.484375,0.917969,-94.238289,28.808596,-58.105473,0.679688,-0.234375,-0.210938
3374,156,229,113,223,0.503906,1.308594,0.179688,-27.343752,18.554689,-50.292973,0.664063,-0.21875,-0.226563
3375,152,218,117,205,0.234375,0.601563,0.722656,-25.390627,71.777351,-48.828129,0.65625,-0.226563,-0.234375
3376,151,214,120,192,0.511719,1.15625,-0.066406,30.761721,79.10157,-52.734379,0.65625,-0.226563,-0.234375
3377,155,215,120,185,1.582031,1.996094,0.632813,98.144539,52.246098,-117.187508,0.640625,-0.210938,-0.226563
3378,216,265,121,232,1.5625,1.90625,0.003906,99.609383,23.437502,-219.238297,0.617188,-0.1875,-0.21875
3379,192,250,120,206,1.757813,1.878906,-0.15625,86.91407,-17.089846,-250.000015,0.570313,-0.148438,-0.210938
3380,186,249,121,210,1.402344,1.871094,0.34375,13.671876,-32.714848,-250.000015,0.5,-0.117188,-0.195313
3381,203,270,121,252,0.390625,1.976563,0.402344,48.828129,-62.500004,-250.000015,0.5,-0.117188,-0.195313
3382,195,275,121,269,0.335938,1.996094,0.210938,102.050789,-68.359383,-250.000015,0.414063,-0.101563,-0.179688
3383,205,293,121,290,-0.417969,1.585938,0.214844,-14.648438,8.300782,-245.605484,0.335938,-0.101563,-0.171875
3384,197,291,121,290,0.042969,1.996094,-0.355469,-140.625015,149.414078,-39.062504,0.304688,-0.117188,-0.179688
3385,193,289,121,289,-0.054688,1.996094,-0.40625,-211.425797,160.644547,-19.531252,0.289063,-0.125,-0.203125
3386,192,290,121,290,0.339844,1.996094,-0.285156,-107.910164,64.941414,-182.128922,0.289063,-0.125,-0.203125
3387,198,293,121,293,1.410156,1.996094,-0.359375,-0.976563,-37.59766,-250.000015,0.25,-0.148438,-0.21875
3388,246,329,121,332,1.996094,1.996094,-0.585938,-24.902346,-73.242195,-250.000015,0.210938,-0.179688,-0.21875
3389,239,326,121,329,1.996094,1.914063,-0.679688,-84.960945,-44.433598,-247.558609,0.179688,-0.21875,-0.234375
3390,239,325,120,328,1.996094,0.664063,-0.929688,-83.00782,-23.437502,-93.261726,0.171875,-0.234375,-0.242188
3391,280,355,121,360,1.980469,-0.101563,-0.945313,-66.406258,-43.945316,-4.394532,0.171875,-0.234375,-0.242188
3392,300,368,120,381,1.621094,-1.277344,-0.765625,-18.554689,-88.378914,77.636726,0.171875,-0.242188,-0.257813
3393,257,340,121,350,1.777344,-1.179688,-0.824219,47.363285,-123.046883,191.894547,0.195313,-0.234375,-0.273438
3394,203,303,121,303,1.683594,0.402344,-0.554688,109.375008,-83.00782,249.511734,0.296875,-0.164063,-0.257813
3395,211,307,121,304,1.582031,1.171875,-0.542969,166.503922,-78.125008,249.511734,0.375,-0.132813,-0.242188
3396,224,316,121,315,1.550781,1.773438,-0.578125,227.539078,-89.843758,249.511734,0.375,-0.132813,-0.242188
3397,211,307,121,307,1.898438,1.996094,-0.558594,249.511734,-77.148445,249.511734,0.460938,-0.109375,-0.210938
3398,206,301,120,301,1.734375,1.996094,-0.542969,249.511734,27.832033,249.511734,0.546875,-0.117188,-0.164063
3399,217,309,120,309,1.3125,1.996094,-0.566406,239.746109,102.53907,249.511734,0.625,-0.148438,-0.132813
3400,202,302,122,300,0.097656,1.996094,-0.808594,176.757828,180.175797,249.511734,0.6875,-0.210938,-0.132813
3401,227,318,120,316,-1.914063,1.996094,-1.128906,166.01564,160.644547,249.511734,0.6875,-0.210938,-0.132813
3402,202,304,121,300,-2,1.996094,-0.683594,145.507828,51.269535,249.511734,0.734375,-0.273438,-0.140625
3403,209,309,121,305,-2,1.996094,0.375,81.054695,-78.613289,192.871109,0.765625,-0.320313,-0.140625
3404,196,299,120,296,-2,1.996094,0.910156,56.640629,-158.20314,-32.714848,0.773438,-0.328125,-0.085938
