SensoriaRawDataFormat: 4.0
FirmwareRevision: 1.1.5.231R
DeviceName: Sensoria-C1-8462
SerialNumber: E22EC481EC559DCF
Location: 0x0000
Start: 2024-02-26T15:05:06-08:00
SamplingFrequency: 50
AfeName: N/A
AfeUnits: N/A
(null)
(null)
(null)
(null)
(null)
(null)
(null)
(null)

Tag,AutoTag,Tick,T,S0,S1,S2,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,HRM,S3,S4,S5,S6,S7,CS0,CS1,CS2,CS3,CS4,CS5,CS6,CS7,RSSI,Timestamp,Zero
,,5551,1140,328,158,183,0.006348,-0.003906,1.037109,1.268750,-3.850000,-0.183750,0.042924,-0.200896,-0.438584,,159,141,130,115,916,,,,,,,,,-49,15:05:07.256,
,,5552,1160,327,159,184,0.004883,-0.000977,1.034180,1.356250,-3.797500,-0.192500,0.043654,-0.204692,-0.443256,,160,142,130,116,915,,,,,,,,,-49,15:05:07.257,
,,5553,1180,329,159,184,0.003906,-0.002930,1.035156,1.303750,-3.736250,-0.218750,0.043216,-0.203524,-0.435080,,160,144,128,116,916,,,,,,,,,-49,15:05:07.286,
,,5554,1200,330,159,184,0.006836,-0.003418,1.035156,1.347500,-3.736250,-0.227500,0.040734,-0.198998,-0.434058,,161,143,129,114,915,,,,,,,,,-49,15:05:07.318,
,,5555,1220,329,159,182,0.010254,-0.008789,1.031738,1.356250,-3.745000,-0.175000,0.040734,-0.198998,-0.434058,,161,141,126,116,915,,,,,,,,,-49,15:05:07.319,
,,5556,1240,327,160,183,0.007324,-0.004395,1.034180,1.295000,-3.753750,-0.148750,0.039566,-0.195786,-0.427926,,161,141,128,115,916,,,,,,,,,-49,15:05:07.345,
,,5557,1260,326,160,185,0.005371,-0.003418,1.036621,1.268750,-3.815000,-0.175000,0.042194,-0.191114,-0.444862,,161,142,129,116,915,,,,,,,,,-49,15:05:07.376,
,,5558,1280,328,160,184,0.003906,-0.006348,1.035156,1.321250,-3.710000,-0.210000,0.041756,-0.197538,-0.432306,,159,141,128,114,915,,,,,,,,,-49,15:05:07.377,
,,5559,1300,329,161,185,0.008301,-0.008789,1.031738,1.225000,-3.780000,-0.210000,0.043070,-0.197976,-0.432598,,161,144,127,116,915,,,,,,,,,-49,15:05:07.405,
,,5560,1320,329,160,182,0.002441,-0.006348,1.036133,1.312500,-3.683750,-0.262500,0.043070,-0.197976,-0.432598,,159,141,126,117,916,,,,,,,,,-49,15:05:07.436,
,,5561,1340,328,162,183,0.003906,-0.011230,1.039551,1.286250,-3.797500,-0.175000,0.040588,-0.191990,-0.443256,,161,140,126,116,917,,,,,,,,,-49,15:05:07.436,
,,5562,1360,326,159,184,0.007812,-0.004883,1.037109,1.260000,-3.745000,-0.201250,0.037668,-0.194326,-0.441942,,161,140,128,114,916,,,,,,,,,-49,15:05:07.466,
,,5563,1380,327,160,183,0.008789,-0.008789,1.036133,1.303750,-3.745000,-0.210000,0.044822,-0.197392,-0.442964,,160,141,126,115,916,,,,,,,,,-49,15:05:07.497,
,,5564,1400,328,162,186,0.003906,-0.005371,1.033203,1.373750,-3.815000,-0.183750,0.042194,-0.195640,-0.433620,,161,143,128,117,916,,,,,,,,,-49,15:05:07.497,
,,5565,1420,327,160,183,0.007812,-0.002930,1.036621,1.356250,-3.727500,-0.183750,0.045552,-0.193742,-0.446322,,160,141,128,116,915,,,,,,,,,-49,15:05:07.527,
,,5566,1440,327,159,181,0.003418,-0.002441,1.037598,1.347500,-3.797500,-0.122500,0.045552,-0.193742,-0.446322,,159,141,128,117,917,,,,,,,,,-49,15:05:07.557,
,,5567,1460,326,158,184,0.007812,-0.005859,1.035645,1.365000,-3.771250,-0.236250,0.044092,-0.193012,-0.422670,,160,141,129,115,916,,,,,,,,,-49,15:05:07.557,
,,5568,1480,327,159,183,0.004395,-0.005859,1.030762,1.338750,-3.788750,-0.131250,0.040296,-0.193158,-0.437562,,159,143,128,115,916,,,,,,,,,-49,15:05:07.586,
,,5569,1500,326,160,185,0.004883,-0.002930,1.038574,1.303750,-3.736250,-0.210000,0.041902,-0.193304,-0.439606,,160,143,125,117,916,,,,,,,,,-49,15:05:07.616,
,,5570,1520,328,160,181,0.006348,-0.006836,1.040039,1.356250,-3.823750,-0.210000,0.038836,-0.191114,-0.431868,,159,142,126,116,914,,,,,,,,,-49,15:05:07.617,
,,5571,1540,328,159,183,0.009766,-0.009277,1.034668,1.312500,-3.771250,-0.157500,0.038836,-0.191114,-0.431868,,160,141,128,115,916,,,,,,,,,-49,15:05:07.647,
